transcription,medical_specialty,access_level,source,doc_type
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

Monday, March 12:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast sandwich on whole grain bread with carrot sticks and hummus
* Dinner: Baked salmon with roasted vegetables and quinoa

Tuesday, March 13:

* Breakfast: Oatmeal with banana and honey
* Lunch: Turkey and avocado wrap with mixed greens salad
* Dinner: Vegetarian stir-fry with brown rice and steamed broccoli

Wednesday, March 14:

* Breakfast: Yogurt parfait with granola and berries
* Lunch: Grilled turkey and cheese sandwich on whole grain bread with tomato soup
* Dinner: Beef and vegetable kebabs with roasted sweet potatoes

Thursday, March 15:

* Breakfast: Smoothie bowl with banana, spinach, and almond milk topped with granola and fresh fruit
* Lunch: Chicken Caesar salad wrap
* Dinner: Slow-cooked chili with crusty bread and a side salad

Friday, March 16:

* Breakfast: Pancakes with fresh berries and maple syrup
* Lunch: Grilled chicken breast with mixed greens salad and balsamic vinaigrette
* Dinner: Baked chicken parmesan with spaghetti and marinara sauce

Saturday, March 17:

* Breakfast: Bagels with cream cheese and lox
* Lunch: Grilled panini sandwich with tomato soup
* Dinner: Slow-roasted prime rib with roasted vegetables and horseradish sauce

Sunday, March 18:

* Breakfast: Breakfast burrito with scrambled eggs, sausage, and avocado
* Lunch: Chicken quesadilla with sour cream and salsa
* Dinner: Grilled shrimp with quinoa and steamed asparagus",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria

Monday:
- Breakfast: Scrambled eggs, whole wheat toast, fresh fruit salad
- Lunch: Grilled chicken sandwich, mixed greens salad, balsamic vinaigrette dressing
- Dinner: Baked salmon, roasted vegetables, quinoa

Tuesday:
- Breakfast: Oatmeal with banana and honey, whole grain English muffin
- Lunch: Turkey and avocado wrap, carrot sticks with hummus dip
- Dinner: Vegetarian lasagna, garlic bread, Caesar salad

Wednesday:
- Breakfast: Yogurt parfait with granola and berries, whole wheat croissant
- Lunch: Grilled chicken Caesar salad, whole wheat crackers
- Dinner: Beef stir-fry with brown rice, steamed broccoli

Thursday:
- Breakfast: Smoothie bowl with banana, spinach, and almond milk, whole grain waffles
- Lunch: Chicken quesadilla, mixed greens salad, salsa
- Dinner: Roasted chicken, roasted sweet potatoes, green beans

Friday:
- Breakfast: Whole grain pancakes with maple syrup, scrambled eggs
- Lunch: Tuna salad sandwich, mixed greens salad, whole wheat crackers
- Dinner: Grilled pork chop, roasted Brussels sprouts, quinoa

Saturday and Sunday:
- Breakfast: Breakfast burrito with scrambled eggs, sausage, and cheese, fresh fruit salad
- Lunch: Chicken Caesar wrap, carrot sticks with hummus dip
- Dinner: Baked chicken, roasted asparagus, brown rice",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - March 5th to March 11th

Monday, March 5th:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast with roasted vegetables and quinoa
* Dinner: Spaghetti Bolognese with garlic bread and a green salad

Tuesday, March 6th:

* Breakfast: Greek yogurt parfait with granola and mixed berries
* Lunch: Turkey and avocado wrap with carrot sticks and hummus
* Dinner: Grilled salmon with roasted sweet potatoes and steamed broccoli

Wednesday, March 7th:

* Breakfast: Overnight oats with banana and almond milk
* Lunch: Chicken Caesar salad wraps
* Dinner: Beef and vegetable stir-fry with brown rice

Thursday, March 8th:

* Breakfast: Whole grain waffles with fresh strawberries and whipped cream
* Lunch: Lentil soup with whole grain crackers and a side salad
* Dinner: Grilled chicken breast with roasted Brussels sprouts and sweet potatoes

Friday, March 9th:

* Breakfast: Smoothie bar with yogurt, banana, and mixed berries
* Lunch: Grilled panini sandwiches with tomato soup
* Dinner: Slow cooker chili with crusty bread and a side salad

Saturday and Sunday:

* The cafeteria will be closed for weekend maintenance. Reservations can be made for catering services during this time.

Please note that menu items are subject to change based on seasonal availability and dietary requests. If you have any special dietary needs, please contact the cafeteria staff in advance to make arrangements.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Week of March 13th to March 19th

Monday, March 13th:

* Breakfast: Whole-grain toast with scrambled eggs and turkey sausage
* Lunch: Grilled chicken breast sandwich on whole-grain bread with carrot sticks and hummus
* Snack: Fresh fruit salad
* Dinner: Spaghetti with meat sauce, garlic bread, and a green salad

Tuesday, March 14th:

* Breakfast: Yogurt parfait with granola and banana slices
* Lunch: Turkey and avocado wrap with mixed greens salad
* Snack: Apple slices with almond butter
* Dinner: Baked salmon with roasted vegetables and quinoa

Wednesday, March 15th:

* Breakfast: Overnight oats with berries and nuts
* Lunch: Grilled chicken Caesar salad wrap
* Snack: Carrot and celery sticks with ranch dip
* Dinner: Beef and vegetable stir-fry with brown rice

Thursday, March 16th:

* Breakfast: Whole-grain waffles with fresh strawberries and whipped cream
* Lunch: Chicken quesadilla with mixed greens salad and pico de gallo
* Snack: Grapes and cheese cubes
* Dinner: Slow-cooked chili with cornbread and a side salad

Friday, March 17th:

* Breakfast: Scrambled eggs with whole-grain English muffins and turkey bacon
* Lunch: Grilled chicken breast sandwich on whole-grain bread with mixed greens salad
* Snack: Rice cakes with peanut butter and banana slices
* Dinner: Baked chicken parmesan with spaghetti and garlic bread

Saturday and Sunday:

* Breakfast: Bagels with cream cheese and lox, or pastries and coffee
* Lunch: Soup and sandwich options available
* Snack: Fresh fruit salad or yogurt parfait

Please note that menu items are subject to change based on dietary restrictions and staff preferences.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria

**Monday**

* Breakfast: Scrambled eggs, whole wheat toast, fresh fruit, and yogurt parfait
* Lunch: Grilled chicken breast with roasted vegetables and quinoa
* Snack: Carrot sticks with hummus
* Dinner: Spaghetti with meat sauce, garlic bread, and a green salad

**Tuesday**

* Breakfast: Overnight oats with banana and almond milk
* Lunch: Turkey and avocado wrap with mixed greens
* Snack: Apple slices with cheddar cheese
* Dinner: Baked salmon with roasted sweet potatoes and steamed broccoli

**Wednesday**

* Breakfast: Whole grain waffles with strawberries and whipped cream
* Lunch: Chicken Caesar salad with whole wheat croutons
* Snack: Grapes and crackers
* Dinner: Beef tacos with lettuce, tomatoes, and sour cream

**Thursday**

* Breakfast: Smoothie bar with yogurt, banana, and granola
* Lunch: Veggie burger on a whole grain bun with sweet potato fries
* Snack: Hard-boiled eggs
* Dinner: Chicken parmesan with spaghetti and garlic bread

**Friday**

* Breakfast: Cereal bar with milk and fresh fruit
* Lunch: Grilled chicken breast with mixed greens and balsamic vinaigrette
* Snack: Rice cakes with peanut butter and banana slices
* Dinner: Slow cooker chili with whole grain crackers",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

The hospital cafeteria will offer the following menu options during the week of March 12 - March 18:

Monday, March 12:
- Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
- Lunch: Grilled chicken breast sandwich on a baguette with mixed greens salad and balsamic vinaigrette dressing
- Dinner: Spaghetti with marinara sauce, garlic bread, and steamed broccoli

Tuesday, March 13:
- Breakfast: Yogurt parfait with granola and mixed berries
- Lunch: Turkey and avocado wrap with carrot sticks and hummus
- Dinner: Baked salmon with roasted vegetables and quinoa

Wednesday, March 14:
- Breakfast: Cereal bar with banana slices and milk
- Lunch: Grilled panini sandwich with tomato soup
- Dinner: Beef stir-fry with brown rice and mixed vegetables

Thursday, March 15:
- Breakfast: Smoothie bowl with banana, spinach, and almond milk topped with granola and fresh fruit
- Lunch: Chicken Caesar salad wrap
- Dinner: Slow-cooked chili with crusty bread and a side salad

Friday, March 16:
- Breakfast: Bagel with cream cheese and smoked salmon
- Lunch: Grilled chicken breast with roasted vegetables and quinoa
- Dinner: Baked chicken parmesan with spaghetti and garlic bread

Saturday and Sunday will offer the same menu options as weekdays. Please note that menu items are subject to change based on supplier availability and culinary considerations.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria - Week of March 11th - March 17th

Monday, March 12th:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast sandwiches, carrot sticks with hummus, mixed greens salad with balsamic vinaigrette
* Dinner: Spaghetti with meat sauce, garlic bread, steamed broccoli

Tuesday, March 13th:

* Breakfast: Yogurt parfait with granola and berries
* Lunch: Turkey and avocado wraps, cherry tomatoes with ranch dressing, side salad with choice of toppings
* Dinner: Baked salmon, roasted vegetables, quinoa

Wednesday, March 14th:

* Breakfast: Whole grain waffles with fresh fruit and whipped cream
* Lunch: Chicken Caesar salad wraps, mixed berries with yogurt dip
* Dinner: Beef and vegetable stir-fry, brown rice

Thursday, March 15th:

* Breakfast: Overnight oats with nuts and seeds
* Lunch: Grilled paninis, sliced cucumber with dill dip, side salad with choice of toppings
* Dinner: Chicken fajitas, sautéed onions and bell peppers, warm flour tortillas

Friday, March 16th:

* Breakfast: Smoothies with yogurt, banana, and honey
* Lunch: Grilled chicken breast sandwiches, mixed greens salad with balsamic vinaigrette
* Dinner: Slow-cooked chili, crusty bread, shredded cheddar cheese

Saturday, March 17th (Café Day):

* Breakfast: Pancakes with fresh fruit, maple syrup, and whipped cream
* Lunch: Quesadillas, mixed berries with yogurt dip",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

Monday:
- Breakfast: Scrambled eggs, whole wheat toast, fresh fruit salad
- Lunch: Grilled chicken breast, quinoa salad, mixed greens with balsamic vinaigrette
- Snack: Freshly baked muffins and yogurt cups

Tuesday:
- Breakfast: Overnight oats, sliced almonds, and berries
- Lunch: Vegetarian wrap (hummus, avocado, sprouts) with a side of carrot sticks
- Snack: Apple slices with cheddar cheese

Wednesday:
- Breakfast: Whole grain cereal with milk, banana slices, and granola
- Lunch: Grilled turkey breast sandwich on whole wheat bread, mixed greens salad, and cherry tomatoes
- Snack: Rice cakes with peanut butter and banana slices

Thursday:
- Breakfast: Yogurt parfait (Greek yogurt, granola, mixed berries)
- Lunch: Chicken Caesar salad
- Snack: Freshly made trail mix with nuts and dried fruits

Friday:
- Breakfast: Avocado toast on whole wheat bread with scrambled eggs
- Lunch: Grilled chicken breast with roasted vegetables (broccoli, carrots, bell peppers) and quinoa
- Snack: Carrot sticks with hummus

Saturday and Sunday will feature a special ""Breakfast for One"" menu at 7:00 AM, featuring scrambled eggs, whole wheat toast, and fresh fruit salad.

Please note that menu items are subject to change based on seasonal availability and staff preferences.",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria (March 12 - March 18)

Monday:

* Breakfast: Scrambled eggs with whole wheat toast and fresh fruit
* Lunch: Grilled chicken breast with roasted vegetables and quinoa
* Dinner: Beef stir-fry with brown rice and mixed greens salad

Tuesday:

* Breakfast: Oatmeal with banana and honey
* Lunch: Turkey and avocado wrap with carrot sticks and hummus
* Dinner: Baked salmon with sweet potato and steamed broccoli

Wednesday:

* Breakfast: Yogurt parfait with granola and berries
* Lunch: Veggie burger on whole wheat bun with mixed greens salad and balsamic vinaigrette
* Dinner: Chicken fajitas with sautéed onions and bell peppers, served with warm flour tortillas

Thursday:

* Breakfast: Smoothies (choice of banana, strawberry, or mango) with whole grain cereal
* Lunch: Grilled chicken Caesar salad with croutons and parmesan cheese
* Dinner: Slow-cooked chili with crusty bread and a side salad

Friday:

* Breakfast: Pancakes with maple syrup and fresh fruit
* Lunch: Chicken quesadilla with mixed greens salad and sour cream
* Dinner: Baked cod with roasted asparagus and quinoa

Saturday and Sunday:

* Breakfast: Bagels with cream cheese and smoked salmon, or scrambled eggs with whole wheat toast
* Lunch: Sandwiches (choice of turkey, ham, or vegetarian options) with chips and fruit
* Dinner: Grilled chicken breast with roasted vegetables and brown rice",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
"Weekly Menu for Hospital Cafeteria

Monday:
- Breakfast: Scrambled eggs, turkey sausage, whole-grain toast, and fresh fruit
- Lunch: Grilled chicken breast, quinoa salad with roasted vegetables, and mixed greens salad with vinaigrette dressing
- Dinner: Beef stir-fry with brown rice, steamed broccoli, and fortune cookies

Tuesday:
- Breakfast: Yogurt parfait with granola, banana, and honey
- Lunch: Turkey and avocado wrap with carrot sticks and hummus
- Dinner: Baked salmon, roasted sweet potatoes, green beans, and Caesar salad

Wednesday:
- Breakfast: Smoothie bowl with banana, spinach, almond milk, and almond butter topping
- Lunch: Grilled chicken Caesar wrap
- Dinner: Vegetarian lasagna with garlic bread and a side salad

Thursday:
- Breakfast: Cereal bar with skim milk, sliced banana, and whole-grain toast
- Lunch: Chicken quesadilla with mixed greens salad and balsamic vinaigrette dressing
- Dinner: Grilled steak, roasted asparagus, quinoa, and sautéed bell peppers

Friday:
- Breakfast: Whole-grain waffles with fresh berries, whipped cream, and maple syrup
- Lunch: Turkey and cheese sandwich on whole-grain bread with carrot sticks and hummus
- Dinner: Slow-cooked chili with crusty bread and a side salad",Public Administrative,PUBLIC,generated,hospital cafeteria weekly menu
